id,name,spokenLanguage,signedLanguage,category,definition,paraphrase,example,url,videoDuration,exampleVideoDuration
113448,SPIELEN,de,dsgs,Sport/Freizeit,"Spielekonsole von Nintendo spielen, Playstationspiele","Playstation spielen, Nintendo",Meine Kinder lieben Nintendo-Spiele leidenschaftlich .,https://signsuisse.sgb-fss.ch/lexikon/113448/spielen,3.084,5.042
116852,FENCHEL,de,dsgs,Nahrung,"zu den Doldenblütlern gehörende, gelb blühende, würzig riechende, feinblättrige Pflanze, die als Arznei-, Gewürz- und Gemüsepflanze angebaut wird","Pflanze mit dicken wessen Knollen, die intensiv riecht und die man als Gemüse oder Salat isst und deren Samen man als Tee verwendet",Fenchel tut dem Magen und der Verdauung gut.,https://signsuisse.sgb-fss.ch/lexikon/116852/fenchel,2.52,4.917
112395,MUTTER,de,dsgs,Familie,wird von und gegenüber Kindern verwendet als Anrede oder Bezeichnung für die Mutter,"Mama, die Frau hat ein oder mehrere Kinder",Diese Mutter beaufsichtigt die Kinder,https://signsuisse.sgb-fss.ch/lexikon/112395/mutter,3.125,3.417
118028,GEORGIEN,de,dsgs,Nation,Georgien ist ein Staat in Vorderasien. Die Hauptstadt von Georgien ist Tiflis. 1991 erlangte Georgien die Unabhängigkeit.,Staat in Vorderasien,Ein Bundesrat aus Bern reist nach Georgien.,https://signsuisse.sgb-fss.ch/lexikon/118028/georgien,3.125,7.125
121443,PROPORRE,it,lis-ch,Verb,"Presentare, sottoporre qualcosa a qualcuno alla sua attenzione, offrire qualcosa a qualcuno alla sua accettazione.","Suggerire, presentare, esporre, progettare.","Per venerdi prossimo ti propongo di andare in montagna, se per te va bene.",https://signsuisse.sgb-fss.ch/it/lexikon/121443/proporre,2.875,5.68
124176,RÉVEILLER,fr,lsf-ch,Verb,Sortir quelqu'un de son sommeil.,"Secouer, éveiller.",Le chien réveille son maître car il a senti de la fumée.,https://signsuisse.sgb-fss.ch/fr/lexikon/124176/reveiller,2.75,6.5
118791,STAGE,fr,lsf-ch,Beruf/Schule,"Période d'apprentissage, de formation ou de perfectionnement dans une entreprise, un service ou une association.","Formation, apprentissage.",Benoît fait un stage au Crédit Suisse.,https://signsuisse.sgb-fss.ch/fr/lexikon/118791/stage,2.84,7.6
118348,POUSSETTE,fr,lsf-ch,Haus/Gebäude,"Petite voiture d'enfant, généralement pliante, constituée d'un siège suspendu à un châssis sur roulettes.",Voiture d'enfant.,Autrefois les poussettes étaient énormes; maintenant elles sont pratiques car elles sont pliantes et légères.,https://signsuisse.sgb-fss.ch/fr/lexikon/118348/poussette,2.875,8.0
118100,INSOLVENZ,de,dsgs,Wirtschaft,Insolvenz ist gekennzeichnet durch Zahlungsunfähigkeit oder Überschuldung.,Insolvenz führt zu einem Konkursverfahren.,"Eine Firma fordert eine Person zur Bezahlung auf, aber diese ist insolvent.",https://signsuisse.sgb-fss.ch/lexikon/118100/insolvenz,3.709,7.042
119259,MAUVAIS 1,fr,lsf-ch,Eigenschaft,Qui n'a pas les qualités demandées,"Infect, imbuvable.",Ce vin est mauvais.,https://signsuisse.sgb-fss.ch/fr/lexikon/119259/mauvais-1,2.084,4.792
127480,TIRAMISU,fr,lsf-ch,Nahrung,Desert italien fait de couches alternées de mascarpone battu avec des jaunes d'œufs et de biscuits imbibés de café et saupoudrés de cacao.,Dessert italien.,Arnaud adore manger du tiramisu.,https://signsuisse.sgb-fss.ch/fr/lexikon/127480/tiramisu,3.24,8.84
124475,MODÈLE,fr,lsf-ch,Beruf/Schule,Ce qui sert d'objet d'imitation pour faire ou reproduire quelque chose.,"Exemple, schéma.","Pour faire cette couture, j'ai besoin d'un modéle que je comprenne clairement.",https://signsuisse.sgb-fss.ch/fr/lexikon/124475/modele,2.68,4.88
